thai,burmese,count,status,category
ประตูสวนปรุง/ประตูแสนปุง,အနောက်တောင်မုဒ်,150,Ready,Chiang Mai
ประตูสวนดอก,အနောက်ဖက်မုဒ်,0,Queue,Chiang Mai
ประตูท่าแพ,အရှေ့ဖက်မုဒ်,100,Ready,Chiang Mai
ประตูเชียงใหม่,တောင်ဖက်မုဒ်,0,Queue,Chiang Mai
ประตูช้างเผือก,မြောက်ဖက်မုဒ်,0,Queue,Chiang Mai
10โมงเช้า,မနက် ၁၀ နာရီ,1400,Ready,Time
11โมง50นาที,၁၁ နာရီ ၅၀ မိနစ်,1000,Ready,Time
11โมงเช้า,နံနက် ၁၁ နာရီ,1400,Ready,Time
15นาทีครับ,၁၅ မိိနစ်ပါ,100,Ready,General
180บาทครับ,ဘတ် ၁၃၀ ပါ,500,Ready,Measurement
1ทุ่ม,ည ၇ နာရီ,1400,Ready,Time
2ทุ่ม,ည ၈ နာရီ,1400,Ready,Time
30บาทครับ,ဘတ် ၃၀ ပါ,500,Ready,Measurement
3ทุ่ม,ည ၉ နာရီ,1400,Ready,Time
3ฤดูครับมีฤดูร้อน,ဥတု ၃ မျိုးရှိတယ်၊ နွေရာသီပါတယ်။,600,Ready,Weather
4ทุ่ม,ည ၁၀ နာရီ,1400,Ready,Time
4โมงเย็น,ညနေ ၄ နာရီ,1400,Ready,Time
5ทุ่ม,ည ၁၁ နာရီ,1400,Ready,Time
5โมงเย็น,ညနေ ၅ နာရီ,1400,Ready,Time
6โมงเช้า,မနက်6နာရီ,1400,Ready,Time
6โมงเย็น,ညနေ ၆ နာရီ,1400,Ready,Time
7โมงเช้า,မနက်၇နာရီ,1400,Ready,Time
8โมง15นาที,၈ နာရီ ၁၅ မိနစ်,500,Ready,Time
8โมงเช้า,မနက်၈နာရီ,1400,Ready,Time
9โมงตรง,၉ နာရီအတိပါ,1000,Ready,Time
9โมงเช้า,မနက်9နာရီ,1400,Ready,Time
ChrisBaker และ,Chris Baker နဲ့,1700,Ready,General
ก ไก่,ကြက်ဖ,8100,Ready,Consonant
กฎหมาย,ဥပဒေ,600,Ready,Politics
กรกฎาคม,ဇူလိုင်,6400,Ready,Calendar
กรมรบพิเศษที่5,အမှတ် (၅) အထူးစစ်ဆင်ရေးတပ်ရင်း,600,Ready,Military
กระจก,ဖန်ခွက်,4800,Ready,Food
กระจกเงา,မှန်,1700,Ready,Object
กระจาย,ပျံ့နှံ့တယ်။,4500,Ready,General
กระดาน,သင်ပုန်း,2500,Ready,Object
กระดาษ,စာရွက်,1000,Ready,Object
กระติกน้ำร้อน,ဓါတ်ဗူး,4200,Ready,House
กระทะ,ကြော်အိုး,4500,Ready,Food
กระป๋อง,သံဗူး,500,Ready,Object
กระผม,တပည့်တော်,3600,Ready,Pronoun
กระเทียม,ကြက်သွန်ဖြူ,1500,Ready,Food
กระเป๋าสตางค์,ပိုက်ဆံအိတ်,400,Ready,Object
กระเป๋าสตางค์,ပိုက်ဆံအိတ်,3500,Ready,Noun
กระเป๋าเป้,ကျောပိုးအိတ်,300,Ready,Clothing
กระโปรง,စကပ်,2000,Ready,Clothing
กริยา,ကြိယာ,300,Ready,Education
กรุณาช่วยผมด้วย,ကျေးဇူးပြုပြီးကျွန်တော့်ကိုကူညီပါ,1000,Ready,General
กรุณาสับมันหน่อย,တချက်လောက် ခုတ်ပေးပါဦး,1000,Ready,General
กลับไป,ပြန်သွား,400,Ready,Action
กลัวจะยัดไม่เข้า,မတော်မှာစိုးရိမ်တယ်,2800,Ready,Xxx
กลางคืน,ည,7600,Ready,Time
กล้วย,ငှက်ပျောသီး,3000,Ready,Food
กล้วยน้ำว้า,ဖီးကြမ်းသီး,1800,Ready,Nature
กว่า,ထက်ပို၍,500,Ready,General
กว้างหรือแคบ,ကျယ် သို့ ကျဥ်းသော,5000,Ready,Adjective
กษัตริย์,ဘုရင်,3000,Ready,Politics
กอด,ဖက်တယ်။,3200,Ready,General
กันยายน,စက်တင်ဘာ,6400,Ready,Calendar
