thai,burmese,count,status
ก,ကြက်ဖ,8100,Queue
ข,ဥ,8100,Queue
ฃ,ပုလင်း,8100,Queue
ค,ကျွဲ,8100,Queue
ฅ,လူ,8100,Queue
ฆ,ခေါင်းလောင်း,9600,Queue
ง,မြွေ,8100,Queue
จ,ပန်းကန်,8100,Queue
ฉ,စည်း,8600,Queue
ช,ဆင်,8100,Queue
ซ,သံကြိုး,9100,Queue
ฌ,သစ်ပင်,9600,Queue
ญ,မိန်းကလေး,8100,Queue
ฎ,နတ်သမီးခေါင်းဆောင်း,8100,Queue
ฏ,လှံ,9600,Queue
ฑ,နတ်သမီး,9600,Queue
ฒ,အဘိုးအို,9100,Queue
ณ,ကိုရင်,11760,Queue
ฐ,ပုလ္လင်ခံ,13160,Queue
ด,ကလေး,9760,Queue
ต,လိပ်,10760,Queue
ถ,အိတ်,13760,Queue
ท,စစ်သား,9760,Queue
น,ကြွက်,11260,Queue
บ,သစ်ရွက်,10860,Queue
ธ,အလံ,17260,Queue
ป,ငါး,6960,Queue
ผ,ပျား,11360,Queue
ฝ,အိုးဖုံး,8460,Queue
พ,ဖလား,14760,Queue
ฟ,သွား,8960,Queue
ภ,ရွက်လှေ,10060,Queue
ม,မြင်း,8000,Queue
ย,ဘီလူး,8000,Queue
ร,လှေ,8000,Queue
ล,မျောက်,8000,Queue
ว,လက်စွပ်,8000,Queue
ศ,ဇရပ်,9860,Queue
ษ,ရသေ့,9360,Queue
ส,ကျား,8960,Queue
ห,သေတ္တာ,8960,Queue
ฬ,စွန်,10960,Queue
อ,ကန်,8460,Queue
ฮ,ဇီးကွက်,8000,Queue
ศูนย์,သုည,4200,Queue
หนึ่ง ,တစ်,5200,Queue
สอง,နှစ်,5200,Queue
สาม,သုံး,5200,Queue
สี่ ,လေး,5200,Queue
ห้า,ငါး,5200,Queue
หก,ခြောက်,5200,Queue
เจ็ด,ခုနှစ်,5200,Queue
แปด,ရှစ်,5200,Queue
เก้า,ကိုး,5200,Queue
สิบ,တစ််ဆယ်,5200,Queue
สิบเอ็ด,ဆယ့်တစ်,4200,Queue
สิบสอง,ဆယ့်နှစ်,4200,Queue
